,unnamed_0,sim_id,drawdown_integral,annualized_return,worst_annual_4wk,dollar_ret_1p,dollar_ret_6p,dollar_ret_13p,dollar_ret_26p,avg_eps_1q,avg_eps_2q,avg_eps_4q,avg_eps_8q,threshold,beta,mom_decay,qual_decay,macro_weights_0,macro_weights_1,macro_weights_2,macro_weights_3,rank
0,0,7478227212,-16212.554470588278,0.1457068434615795,-0.0242906418221894,-1.8905226299905675,0.0831235424648473,-1.089715657575625,1.252747879037327,1.6152416867340755,0.8711696302893702,1.8277022859720933,-1.0970535719462222,-0.1137554616901318,14.659904695477335,0.9699074993222148,0.924986644405198,-0.8254992071783245,0.3657379744369389,-0.0863105875963231,0.7230684955489771,0
1,0,9806421035,-63452.092864705744,0.1844301670140731,-0.039695806351673,-1.9004094881754328,0.6479697585435044,-0.884889645111474,1.762951095341846,1.4465021041451676,0.7389173531730241,1.4568498945434871,1.9757812853554493,-0.0210169600306196,13.388937924581878,0.2629255472067713,-0.7161906174028797,0.106812800875517,0.6194933545172652,0.0928922083979748,0.9926802065801176,0
2,0,3258404468,-61610.10972941153,0.174240814286257,-0.0404814780817108,-1.3670650583505195,0.60663796970157,1.383499355042801,1.892193679386684,1.4689044563307931,0.7366901372484211,0.0170729567339182,1.8649894964832625,-0.0261880257140202,14.549192776919574,0.2569814322146079,-0.8893630124979325,0.1173754638193565,0.6374863028755585,-0.083113081367179,0.9805716202840404,0
3,0,9118919432,-61042.47475294121,0.1832813233234527,-0.0383349115342721,-1.8924022938241476,-0.1182060165912287,-0.8590177759566395,1.2616133351705994,1.5225445659373429,0.7372639851578351,-0.2188778632485794,1.7622017567527488,-0.0982221677953893,13.366198281343658,0.2602150096408235,-0.8897951447422933,0.1172691540405839,0.6049622339084653,-0.1082297533946684,0.9001405415067802,0
4,0,8870909783,-59083.55765294118,0.1757402547565838,-0.0389183278513305,-1.8822249309635832,0.1052469832309594,1.8381700418774007,1.7063051500623794,0.7193928650970695,0.939753402199256,-0.2336370572545333,-0.5491951013425075,-0.023932598389039,13.981531281589607,0.2380124540442221,-0.8895978833626192,-0.0963149416387446,0.5112661571428276,0.092890800701695,0.8897339101449055,0
5,0,9806091553,-59048.6564411766,0.1630209956680341,-0.0391639726421905,-1.8797880809199865,0.6760427024650602,-0.8705259020692234,1.0715717565347571,0.2468511565581724,0.8730647732076472,1.306581027241968,1.8094474711287267,0.0358808129065656,14.374046518600569,0.2794601876138884,-0.9486077180065204,-0.1697929502078264,0.5232905445024124,-0.08673775173403,0.9606570794819972,0
6,0,537683415,-58829.8392000002,0.1771844182810884,-0.0380596695735171,-1.8974421105209411,-0.1204504726084387,-0.7212717617769262,1.2618097360077083,1.605620207069726,0.7392357552506132,-0.2145440060122683,1.7674934656283592,-0.0238695370337068,13.37861830389351,0.2602150096408235,-0.8430689646886196,-0.0246230553106483,0.6049622339084653,0.040841659346665,0.8901791264118004,0
7,0,375233702,-58525.19987058773,0.1993909917047571,-0.0337681793263609,-1.7896872236797396,0.5906003364434604,1.566699663480792,1.610093113745546,0.8087068477113192,0.7079872531577642,1.2869613227060088,-1.3169300776030388,-0.2396868357205168,12.44838545967724,0.2770872425334423,-0.7635229236654967,-0.124032733582072,0.5247523046483471,0.099907606137575,0.9997634463016988,0
8,0,3015460849,-57997.61191764716,0.1732771965749557,-0.0387813814125874,-1.7887483930479882,0.2403666970864645,1.7715032860421382,1.6029709128463778,1.4399880315142763,0.7344358925657811,-0.2340525607306827,-0.7714726979920237,-0.0210585531831505,13.372378206110984,0.2622252446355528,-0.8910758708278773,-0.0238772860835656,0.6514752627429145,0.118816460067976,0.9003188902097177,0
9,0,3880300968,-54190.37544117679,0.1346393335125826,-0.0400145655200372,-1.88968846190172,-0.1854368853696851,-1.0795800723461897,1.254185522188744,1.750146810974827,0.6924878354049163,1.1939314376991983,1.8683090587175664,-0.2337754383392704,12.619719534573449,0.345823420267174,-0.5237939012537685,-0.7708257267677415,0.6764022099098622,0.0319181307341322,0.9873594526608154,0
