,sim_id,f1_2008,f2_2020,f1_2022,f4_terminal,f5_worst_annual,crash,boom,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,rank
384,9774133444,0.0,1722.0,16086.51379999984,629756.9504000002,-0.0010497820298121,0.1429882337683921,0.0906749016083094,0.3985820098752923,0.484254337022232,0.9455026352760382,0.9011886498310078,0.2389251137222854,-0.5714224954132787,1.3909614141291724,1.6633427506899714,0.0925407002838928,-0.11361542868426,-0.76512150343591,-0.3075898017201226,1.0071818497875704,4.965014570688783,0.5890119983845028,-0.9616212482810912,0.0377002636954336,7
385,3812948243,0.0,1637.9999999999418,18259.201599999917,632689.3617,-0.0009665402520454,0.1429127502643574,0.0916881870782801,0.397742606300432,0.484254337022232,0.9288284926199156,0.7705797668111137,0.228969500486453,-0.5589946496556754,1.4155523744417564,1.6633726081999491,0.0999691580930891,-0.1136840398706384,-0.7651363432764205,-0.3379333844067934,1.0021744830472974,4.910837604247907,0.4917697166283412,-0.9147707752764224,0.0294524328877688,7
386,2454955720,0.0,1743.0000000000582,12575.141200000073,634439.6526000001,-0.0011295160243231,0.1411467124367822,0.0922912051005513,0.4554163974949258,0.4349044246875945,0.9297985277555468,0.7678958803489988,0.2282690549276996,-0.5717510873344389,1.4155523744417564,1.6637053859352122,0.0992900015139177,-0.1159871821857608,-0.7774294350319502,-0.3046218618841395,1.0116394779271354,4.913935691706959,0.4915392338499841,-0.9138889428111509,0.081386679459236,7
387,6801506970,0.0,1806.0000000000584,14823.91470000008,643014.4490999999,-0.0010153743637902,0.1411195074682594,0.0952263423614485,0.3988328171257029,0.4374994692493346,0.948032769591958,0.7842322649174707,0.2388839931825929,-0.5717592216091814,1.41173195610126,1.65254698741101,0.0999711453871797,-0.113767813715989,-0.7646066632679379,-0.3457835323514443,1.0057721963789588,4.9951353321917455,0.4934958359180391,-0.9062836452624004,0.0377625175279549,7
388,6474883858,0.0,1784.9999999999418,12437.908500000136,643127.9504999997,-0.0011578995734667,0.1410978849165063,0.0952649831332943,0.3976370304215743,0.4393990761149274,0.947317200655286,0.7702889135452705,0.2286522308659973,-0.5717738365488304,1.4183171495740838,1.663722243028943,0.0915878053039844,-0.0578784348413248,-0.7968646955304295,-0.3401465837614341,1.008119710737049,4.917335917472346,0.4774897330839882,-0.8609766202166931,0.0222314944186212,7
389,8061009070,0.0,1827.0,11887.376799999853,624135.9846000003,-0.001107979953965,0.1439724469294787,0.0887219939898595,0.4354618719503987,0.4357910997786099,0.9453142157829126,0.7676208038787993,0.2286711084916136,-0.571432753068111,1.3913513685058294,1.6386365585645295,0.1000579720329954,-0.1024902629388152,-0.7642787356669534,-0.3382905366142548,1.0080954686731616,4.914031534502054,0.4922641440113016,-0.914705316511772,0.0295206987578631,7
390,837390616,0.0,0.0,125577.06039999938,997747.3929000004,-0.0234817167064539,0.121412116161037,0.1960279495869512,0.524691385910415,0.4747739022665571,0.4705094952388131,0.1149739939593273,0.4739867835276969,-1.61757699998799,-0.811106386631253,0.5540285349832159,0.022407871637963,0.0896919387800899,0.3874449909915637,0.1684838059030682,1.0327762842635264,3.8037428885106,-1.5366330426416082,-0.0067282869433934,0.031385283983891,7
391,562140468,0.0,0.0,114951.74810342782,1044433.281519315,-0.0202451916246101,0.1192166848482818,0.2070232833127514,0.4722714160850221,0.4781231669539326,0.3804559294567733,0.1210718515571324,0.4739565494143702,-1.6112147689867815,-0.8110593742662714,0.5526735166794683,0.0395069224419216,-0.1101153374518572,0.5734040285008722,0.6722495863755804,1.0090342954371536,3.8092162805116985,-1.5295547670308611,-0.0071716061795778,0.017777189951984,7
392,3226888228,0.0,0.0,123598.03399999916,1005647.1965,-0.0218134864556564,0.1210060112832742,0.1979519136803194,0.5304858640753063,0.4747935214242902,0.4704702574294527,0.1150056250017031,0.4738781206739371,-1.617589615001639,-0.8110587293893352,0.554036816153785,0.0378328415517795,-0.0305444119669368,0.33319851619311,0.1598208745147893,1.0329386921114834,3.8037428885106,-1.5394930883113869,-0.0120851637441709,0.0170299010163294,7
393,4898615668,0.0,0.0,171613.8930000005,1090509.1683,-0.0170437736054841,0.112580997325163,0.2174841553200623,0.530436647522842,0.472059901601682,0.4705932435360449,0.1152671788063277,0.4719855686439187,-1.616958402582535,-0.810467260554488,0.5543702678338599,0.0224838542408231,-0.0282752172087883,0.6030139589647602,0.1589277060081902,1.0338725143126457,3.811325312369945,-1.5389141731368583,-0.0119323245908052,0.0372488180051418,7
394,2493175655,0.0,0.0,112233.96480000112,1092687.6507999997,-0.0193353098822116,0.1124231983125252,0.2179950255625822,0.5103018373519489,0.4750365677940219,0.4476478749408508,0.1149921936661683,0.4739720837207852,-1.6175847792417448,-0.8111041665791244,0.5540086817244448,0.0378711551416069,0.0835188370970403,0.5810856956936321,0.1704301784793156,1.0338824828467623,3.8113884367809368,-1.5446015780428566,-0.0126082840408893,0.0256229096579452,7
395,3957324632,0.0,0.0,146882.98429999978,1093031.0713000004,-0.0257341982917709,0.1101952959281611,0.2180464358480918,0.4578843349671346,0.4746720280485562,0.3875067298977172,0.115160891523225,0.4740461792266667,-1.6176104567795722,-0.811056805988706,0.5543503633994152,0.0736776834620794,0.0818562215493219,0.671860302385557,0.1686662366292505,1.0064134154658348,3.803694250013705,-1.5290896893963486,-0.0120852044001393,0.0254255777635044,7
396,6569445311,0.0,0.0,145286.6556999985,1094305.2326,-0.0239821777045878,0.1095512606465143,0.2182924755509236,0.5304586990096732,0.4830443900875571,0.4704702574294527,0.1150004891700274,0.4738770729466816,-1.617565663842678,-0.8110587324232836,0.5540375708831397,0.0282108658535433,0.077199292584643,0.3347982339504728,0.1683648967754135,1.0328583343755846,3.803769160943522,-1.5392576633815875,-0.0120852084218185,0.0217420534454538,7
397,3508848529,0.0,0.0,82372.43769999954,1095967.9425,-0.0183269052705979,0.1092027466476592,0.2187124862081244,0.4718139576715007,0.4753687425266195,0.394104400355614,0.1265266291332646,0.4740479366072929,-1.616753320733508,-0.8110594038148528,0.554256352375809,0.0531135096559288,0.1052366623875309,0.3821310967395978,0.6594513930226438,1.0316400955205616,3.89094700985349,-1.529714163978198,-0.0127463856128947,0.0256965604314104,7
