dollar_ret_1p,dollar_ret_6p,dollar_ret_13p,dollar_ret_26p,avg_eps_1q,avg_eps_2q,avg_eps_4q,avg_eps_8q
3.2343072315503107e-06,5.010107889255207e-06,5.986518160128884e-06,6.3902314304709225e-06,0.08992834295702277,0.017237661275541546,0.05504321260601679,0.0989484286289679
3.7535020430274947e-06,5.7070587846272046e-06,6.6437519319989865e-06,6.7564938616974055e-06,0.09077615795519284,0.017564229647291627,0.05714860760590175,0.10666280801370195
5.384091982405481e-06,7.824990068473269e-06,8.55143001858448e-06,7.73348726924297e-06,0.09286386964880983,0.018381467297570928,0.06259056941000506,0.12794420538894735
1.8965765116831148e-05,2.3545848051722073e-05,2.0638160770585434e-05,1.239071870353358e-05,0.10053307180417145,0.021543387661485024,0.08597773744492458,0.24142615041971854
4.8412208638480756e-05,5.345297253099232e-05,3.975856579295258e-05,1.7597298671328003e-05,0.1066457063300648,0.024243979754456794,0.10888972886867782,0.3872640559552046
4.950036939288075e-06,7.270217546770771e-06,8.06300737080671e-06,7.493928688030677e-06,0.09237320929562025,0.018187725485367335,0.06127806391571039,0.12263447899547414
2.8418870402019173e-06,4.474057275731329e-06,5.4685130874196845e-06,6.088169494110737e-06,0.08919816010314556,0.016958861298097223,0.05327705380367232,0.09270037498069893
2.151991751913725e-06,3.507893400984372e-06,4.501627792771248e-06,5.486252735636679e-06,0.08764837381732783,0.01637465499839192,0.049669601794388916,0.08057159914679285
2.3312549026618378e-06,3.762248755439361e-06,4.760838473493202e-06,5.6530752849213404e-06,0.0880915303740724,0.016540661061528385,0.05068182047414138,0.08388902740821975
1.2594109280384983e-06,2.1952641683256893e-06,3.094346543761472e-06,4.4892149184377604e-06,0.08473794474131197,0.015305224079234984,0.04339354719433627,0.06149649157277753
4.598330707293814e-06,6.8162304198093895e-06,7.657747562747623e-06,7.28998761649362e-06,0.09194510775334187,0.01801952497432182,0.060149869620751556,0.1181603205723403
1.0428435708684841e-05,1.3952933641432457e-05,1.3580805545693293e-05,9.905063288441922e-06,0.0968146793142134,0.019978943887799576,0.07394300350723745,0.17856670024740337
2.9512714023442925e-05,3.4667548114974203e-05,2.8121455337164255e-05,1.4621277501835524e-05,0.1033729833816089,0.022778109780104912,0.09611714732733613,0.30173210376343934
1.2993285304699398e-05,1.691280329340796e-05,1.5839664083809643e-05,1.0754949441018283e-05,0.09816560355120632,0.020540479407037734,0.0781582763406889,0.19950695205687727
2.3351271084659207e-05,2.8245560626285512e-05,2.387156210568208e-05,1.3394150565909149e-05,0.10185928254359768,0.022115686297214467,0.09060704476067402,0.2681262417008023
6.15126707823507e-05,6.591223509608426e-05,4.7011398749031726e-05,1.9247669037152414e-05,0.10826565307135368,0.024986651549310436,0.11566573174066126,0.4369706562919917
0.0002470347896470217,0.00022242931615240548,0.00012434679464509019,3.238425727895668e-05,0.11814668308471363,0.029765114182472133,0.1641880405838571,0.8807724465490088
0.00011148274621491888,0.00011088979820637406,7.126629790654255e-05,2.4045489104846066e-05,0.1123918092245603,0.026929768380373018,0.13436633087124064,0.5897397532586646
