dollar_ret_1p,dollar_ret_6p,dollar_ret_13p,dollar_ret_26p,avg_eps_1q,avg_eps_2q,avg_eps_4q,avg_eps_8q
3.704845235477471e-06,5.2773127242229165e-06,5.607222520705736e-06,4.812715093413225e-06,0.09380912299759706,0.01875753058879,0.06517766034439919,0.13873921700762484
5.314297767718381e-06,7.235762099823786e-06,7.21727293180538e-06,5.508636826623904e-06,0.09596658821160962,0.019630290768499255,0.07138418667870677,0.16642050970611058
1.8719911092309485e-05,2.1772826987638797e-05,1.7418284283223286e-05,8.826027247770231e-06,0.1038920296985788,0.023007029693942655,0.09805711815429285,0.3140295638016018
4.778463910693624e-05,4.9427921234172164e-05,3.355560649871031e-05,1.2534723874895117e-05,0.11020889634060975,0.025891098042455367,0.12418811342069294,0.503724896231122
4.885869398692793e-06,6.72276438973956e-06,6.805051870833553e-06,5.337996961753602e-06,0.09545953417386188,0.019423386278993395,0.06988728166402604,0.15951400409207722
2.8050475369303318e-06,4.1371572084939335e-06,4.6153393522818825e-06,4.336661264753023e-06,0.09217840191480221,0.018111033955830618,0.06076217536063701,0.1205779004007023
2.1240953907763672e-06,3.243746241075679e-06,3.7993033150271534e-06,3.907910210170004e-06,0.09057683498818668,0.017487137106555722,0.0566478969622686,0.10480167161211683
2.301034745632864e-06,3.4789484352698697e-06,4.018073067635042e-06,4.026739504963778e-06,0.09103479805773368,0.01766442150044811,0.057802326581238864,0.1091167408292165
1.2430851303036076e-06,2.029959032442761e-06,2.6115799934490887e-06,3.1977106525652086e-06,0.08756916419314686,0.01634504983136587,0.04949009256139827,0.07999016009804592
4.538722349629062e-06,6.302962854104388e-06,6.463018943393699e-06,5.1927277891258515e-06,0.09501712912897249,0.019243758348002814,0.06860058251876598,0.1536943444754476
1.0293251450488459e-05,1.2902266653449133e-05,1.1461987064623051e-05,7.055471160825074e-06,0.1000494002427696,0.021336298752214627,0.08433157288230653,0.23226656636282722
2.9130139449070425e-05,3.20570542005928e-05,2.373406763158959e-05,1.0414875578735269e-05,0.10682682690162448,0.024325637932035203,0.10962105717387129,0.39247115842689406
1.282485279147146e-05,1.5639255769188883e-05,1.3368428273695026e-05,7.66085318261227e-06,0.1014454608468222,0.021935984584745633,0.08913906745666782,0.25950412174029014
