boom,crash,myindex
0.2399436602192997,0.1118958167638395,0
0.2291597705883643,0.1176481193041842,1
0.221127187021997,0.1186839783488866,2
0.2189215474309978,0.1220333645352924,3
0.2189215474309978,0.1220333645352924,4
0.2138167980582248,0.1250735040775354,5
0.2138167980582248,0.1250735040775354,6
0.2138167980582248,0.1250735040775354,7
0.2138167980582248,0.1250735040775354,8
0.2071887176233287,0.1253321744117379,9
0.2067868368592882,0.1277638215608918,10
0.2067868368592882,0.1277638215608918,11
0.2067868368592882,0.1277638215608918,12
0.1936655329063081,0.127960184935681,13
0.1722367482317546,0.1334915432633991,14
0.1033580634822197,0.141359338194797,15
0.1018794915270489,0.1423748895965035,16
0.1016690631849013,0.1426595017390866,17
0.1001358704648183,0.1439849169821792,18
0.0983606291387668,0.1445374519098035,19
0.0983606291387668,0.1445374519098035,20
0.0980774923545251,0.1526951287255413,21
0.0980774923545251,0.1526951287255413,22
0.0980774923545251,0.1526951287255413,23
0.0892852996254822,0.1540214444065004,24
0.0716927766859107,0.1551335999785263,25
0.0716927766859107,0.1551335999785263,26
0.0716927766859107,0.1551335999785263,27
0.0716927766859107,0.1551335999785263,28
0.0716927766859107,0.1551335999785263,29
0.0590413395902704,0.157442773151192,30
