Unnamed: 0,sim_id,f1_2008,f2_2020,f1_2022,f4_terminal,f5_worst_annual,crash,boom,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,rank
0,1123944000,0.0,0.0,144094.0092999977,1194996.4806000008,-0.0185054357648193,0.1118958167638395,0.2399436602192997,0.5304858640753063,0.4748198340325082,0.4704702574294527,0.127089215287535,0.4738739504312924,-1.6175896183430318,-0.8110589073132283,0.5540369296591855,0.0261311917816933,-0.0305444119669368,0.2173756036389435,0.1558017060786303,1.0329386921114834,3.8032721123866766,-1.5425620203453452,-0.0120851637441709,0.0164193876785816,0
1,3954986303,0.0,2457.0,15440.920500000124,543533.0009999997,-0.0006699860813615,0.157442773151192,0.0590413395902704,0.401656219885372,0.44139326109842,0.8361665691664738,0.784711155781442,0.4708288906582442,-0.5717364204836587,1.236951985683756,1.5238107562607814,0.0929300482724735,-0.1137133793491292,-0.9521357846308468,-0.3410382354964386,0.999444917818228,4.993158447550344,0.5057388550650777,-0.980929233587875,0.0268618804459032,0
2,736661826,0.0,1659.0,78335.7434999987,576802.3217000001,-0.0021043257881103,0.1551335999785263,0.0716927766859107,0.3327700758401704,0.4357911624906575,0.9455308157168612,0.767738004641708,0.2282690549276996,-0.5788332399508549,1.440837558255846,1.6637141938037838,0.0992900015139177,-0.1159250789427894,-0.7752166611597003,-0.3059490126669559,1.0082332759674826,4.914012417591351,0.4915246160752556,-0.914491508278378,0.004718543745399,0
3,7261183297,0.0,1659.0,78335.7434999987,576802.3217000001,-0.0021043257881103,0.1551335999785263,0.0716927766859107,0.3327700758401704,0.4357911624906575,0.9455308157168612,0.767738004641708,0.2282690549276996,-0.5788332399508549,1.440837558255846,1.6637141938037838,0.0992900015139177,-0.1159250789427894,-0.7752166611597003,-0.3059490126669559,1.0082332759674826,4.914012417591351,0.4915246160752556,-0.914491508278378,0.0382252491263975,0
4,4848849551,0.0,1659.0,78335.7434999987,576802.3217000001,-0.0021043257881103,0.1551335999785263,0.0716927766859107,0.3327700758401704,0.4357911624906575,0.9455308157168612,0.767738004641708,0.2282690549276996,-0.5788332399508549,1.440837558255846,1.6637141938037838,0.0992900015139177,-0.1159250789427894,-0.7752166611597003,-0.3059490126669559,1.0082332759674826,4.914012417591351,0.4915246160752556,-0.914491508278378,0.0294924135814163,0
5,2276335876,0.0,1659.0,78335.7434999987,576802.3217000001,-0.0021043257881103,0.1551335999785263,0.0716927766859107,0.3327700758401704,0.4357911624906575,0.9455308157168612,0.767738004641708,0.2282690549276996,-0.5788332399508549,1.440837558255846,1.6637141938037838,0.0992900015139177,-0.1159250789427894,-0.7752166611597003,-0.3059490126669559,1.0082332759674826,4.914012417591351,0.4915246160752556,-0.914491508278378,0.0382545509712264,0
6,2876017100,0.0,1680.0000000000582,18338.44909999985,625753.1854000002,-0.0010305181241125,0.1540214444065004,0.0892852996254822,0.3995859805425176,0.4393990761149274,0.947317200655286,0.7792222384261017,0.228652398982782,-0.5718456646742857,1.4179644557074604,1.6637217343906627,0.0926582682159973,-0.1138511911661115,-0.7751851082224698,-0.3406325617382876,1.0080989146949404,4.914049603830853,0.4778800157567962,-0.94875692522609,0.0368487567033034,0
7,9971613771,0.0,1616.9999999999418,17122.062399999937,651432.4220999994,-0.0009690306727672,0.1526951287255413,0.0980774923545251,0.3972549231618231,0.4393853006686514,0.9452528120864732,0.7699618020494443,0.2286522114229653,-0.5717506466073621,1.3908043658381264,1.6637231234895191,0.0916704882784699,-0.0590360467036174,-0.7644488944826128,-0.3393401336393124,1.00874217953942,4.917365027670373,0.492150472757575,-0.9046066664231632,0.0030214421726076,0
8,4820969976,0.0,1616.9999999999418,17122.062399999937,651432.4220999994,-0.0009690306727672,0.1526951287255413,0.0980774923545251,0.3972549231618231,0.4393853006686514,0.9452528120864732,0.7699618020494443,0.2286522114229653,-0.5717506466073621,1.3908043658381264,1.6637231234895191,0.0916704882784699,-0.0590360467036174,-0.7644488944826128,-0.3393401336393124,1.00874217953942,4.917365027670373,0.492150472757575,-0.9046066664231632,0.0030713037650815,0
9,3539043492,0.0,1616.9999999999418,17122.062399999937,651432.4220999994,-0.0009690306727672,0.1526951287255413,0.0980774923545251,0.3972549231618231,0.4393853006686514,0.9452528120864732,0.7699618020494443,0.2286522114229653,-0.5717506466073621,1.3908043658381264,1.6637231234895191,0.0916704882784699,-0.0590360467036174,-0.7644488944826128,-0.3393401336393124,1.00874217953942,4.917365027670373,0.492150472757575,-0.9046066664231632,0.029465578637677,0
