f1_2008,f2_2020,f1_2022,f4_terminal,f5_worst_annual,crash,boom,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,parent_id
0.0,0.0,107396.95269999886,1023624.3214000008,-0.018836595245992,0.1126753163017351,0.2021650827667267,0.531210602989932,0.4701391881519421,0.4422383267692835,0.1179066389252971,0.4716392565048444,-1.631101615263861,-0.8048070076407463,0.558789897161539,0.0730736232869334,0.1839238370944992,0.2335636485795366,0.6640246252716904,1.0177922130484969,3.8311281841573135,-1.5292279590324902,-0.0118946403818989,0.0221713700115563,1069948469
0.0,13671.840599999705,187059.73399999985,945626.3047999998,-0.0294727685209897,0.1031175456701598,0.1832816877190963,0.5390961372164743,0.4770469618726256,0.4766667655092759,0.1151275982725093,0.471162120494394,-1.624613243699406,-0.8060536993925161,0.5485935628472728,0.027935093462797,0.0776201687395194,0.3322757885779617,0.1652972879030592,1.0409212431517874,3.773883124785255,-1.5204077989349982,-0.0122301415045634,0.0265322744817914,5199151319
14812.94220000028,39651.0345999999,185128.55259999924,875298.0867999998,-0.0251767638324733,0.0917048100673936,0.1651426680133449,0.520038127582235,0.4856862540553416,0.4756460743855795,0.1153046525836932,0.4763102742695187,-1.613031707652639,-0.8133992114580761,0.5471505265573116,0.0279001232186271,0.0896612010366161,0.3310321892897349,0.1660359118094345,1.039015703501831,3.765923775859774,-1.5791625391258064,-0.012191532781933,0.0256432731836888,6694212473
0.0,0.0,96900.76079999992,987995.1631,-0.0209618645814084,0.1093024660054293,0.1937065796314747,0.5215785206403185,0.4816443859267162,0.4699531899282574,0.1156790936833478,0.4702224409726063,-1.6285713034627711,-0.8118999233536193,0.5556479031636073,0.027781355713982,0.0773079615918645,0.3382364341429299,0.1662422417890971,1.0347059935599223,3.825727487746518,-1.5176278585101917,-0.0119768486031125,0.0212179022908784,9746444936
0.0,0.0,150071.6695000002,940108.8893999992,-0.0298386473178867,0.1006115373034022,0.1818862243027876,0.5197711626224357,0.4804446469488572,0.4679658005137802,0.1148568768351133,0.47805240290852,-1.615961989022643,-0.8249730945597362,0.5622833535995065,0.0278759965898747,0.0893161493502126,0.3388367243958854,0.1680510907910231,1.046150721588384,3.818087629713476,-1.541362725483762,-0.0118593830453742,0.0257888968718962,6694212473
0.0,0.0,216321.61210000084,995604.375,-0.0189709590679991,0.1149611626637012,0.195501694465294,0.5316430770358254,0.4673151956879683,0.4381141112281841,0.1121833331423689,0.4750386039983912,-1.6032612045777603,-0.8137993767557254,0.5568793850896486,0.0259591819276885,-0.0338162053596547,0.2179197880938713,0.1555593928779611,1.018125089445077,3.8165009424044696,-1.5443919153666474,-0.0118020184135679,0.017184749763055,5002908266
0.0,0.0,80241.41830000025,1004354.5840999996,-0.0242030057762375,0.1034614630555363,0.1976439655428525,0.5305300985992414,0.4745325784556724,0.4694013560248163,0.1167035120139523,0.4717110038998142,-1.6166731001310646,-0.812022066752108,0.5578898721845815,0.028379333911852,0.0772227528038508,0.3369992278189886,0.1689969482224676,1.0428951151735588,3.887564728145771,-1.5276423948050784,-0.0122245958402298,0.0262884570613608,5199151319
0.0,0.0,87205.70409999962,1051227.7577,-0.0183559502889806,0.1085861629259339,0.2085638918640986,0.5245190333274443,0.4691608738038585,0.4468465799930921,0.1157606820899181,0.4721472201048414,-1.6055600457580186,-0.819579109451317,0.5587849179045219,0.0734928766450009,0.1846967528224317,0.230525079396843,0.6614942750841121,1.0170223771375704,3.804224072408686,-1.5630353706468942,-0.0119893050645341,0.0226388259438766,1069948469
0.0,0.0,177453.8069000007,867972.9399999996,-0.0188664575111981,0.1019206050965564,0.1631750380311891,0.5608155532384854,0.475376931312666,0.4808508421684985,0.117123796543252,0.4810515537175645,-1.632906476700484,-0.8083832861656536,0.5455928113720441,0.0284392287132518,-0.0277725263257038,0.6093764109285515,0.3646199891188616,1.0169283118680523,3.852120872324634,-1.4218046567264682,-0.0074294396079045,0.0208866019944578,4046922509
0.0,0.0,136093.32260000065,932400.7796000004,-0.021852717752158,0.1147281696819524,0.1799549598779735,0.5252204688985442,0.467013343114443,0.4337515860870577,0.1151030913314506,0.4689926789794259,-1.640551916538264,-0.8249481715240322,0.5606196136352734,0.0266926423903294,-0.0345768535966194,0.2169313753251008,0.1551446424442085,1.0354900155144695,3.7742131649812727,-1.5428985641839013,-0.0120307361220354,0.0170402603133887,5002908266
