f1_2008,f2_2020,f1_2022,f4_terminal,f5_worst_annual,crash,boom,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,parent_id
0.0,0.0,126906.55280000051,1083240.9647999988,-0.0158972455848795,0.1193303648297205,0.2158703309268939,0.5274341361040832,0.4725202179951789,0.4706717359294672,0.1254063345213535,0.4712735260197543,-1.6247818323014784,-0.8155631622847072,0.5495994000679952,0.0262765389986609,-0.0307003057479631,0.2173138193952539,0.1554586288507477,1.038637981139153,3.8420921536302814,-1.5429984982511469,-0.0120043221135908,0.0163173077033548,1123944000
0.0,51074.502200000046,106182.33970000011,965581.9051000004,-0.0240320938391666,0.1151617869131418,0.1882192686474382,0.5563305305759718,0.4823326001350767,0.4739114964393272,0.1189830008229836,0.4986509040097737,-1.5737784103178751,-0.7993443959380946,0.5430414131604036,-0.4086926789474045,0.0886963434414533,0.7104132942865214,0.3720124744437513,1.0219336296690706,3.895023998687574,-1.4041815051116144,-0.0075265184703556,0.0209845982107121,4636711049
0.0,0.0,115815.31470000022,1031794.2361999998,-0.0181028384407346,0.1156067540532079,0.2041141353890454,0.5589592688385497,0.4940907738335053,0.488102318672289,0.1161962415054611,0.4949884692598882,-1.6279984166905326,-0.810825150498179,0.5444105564035913,0.0286446099131524,-0.0273768932307027,0.6140965017784082,0.3673339816126164,1.0177867014861743,3.7956373208366463,-1.4198295784047694,-0.0074785117640103,0.0212513908999667,4046922509
0.0,0.0,115343.01920000056,1027680.1278000006,-0.0213970432706467,0.106710469565483,0.2031528856117848,0.5343092187136707,0.472035451372838,0.4517445762922048,0.1163140849320954,0.4686414592868165,-1.5886490955240018,-0.7854270309572806,0.5619162094687061,0.0730566076476884,0.1882647932048922,0.234161832583211,0.661645053087058,1.0266257467368425,3.8687638576261913,-1.560776632494636,-0.0119797489860518,0.0288566522189621,4791476502
0.0,0.0,108036.2764999998,1102775.7425,-0.0186104675269186,0.1077134621788762,0.2202219605476825,0.5189359136332093,0.4711829774952829,0.4526993743885858,0.1148257104263381,0.4727066566003425,-1.622265256418667,-0.8182767568750765,0.564674935219654,0.071001926169818,0.0815152747971589,0.3416798230247172,0.170480249888163,1.0125477719781482,3.702793024616637,-1.5584894410296186,-0.0120222903906963,0.0316962501532774,6001365111
0.0,0.0,116279.76069999988,1032579.6254999998,-0.0220615396465855,0.1079569251778502,0.2042724756511504,0.5216335715880227,0.4707019835187978,0.4432900025455987,0.1152610513470664,0.4783455264839947,-1.6481161195459133,-0.803162944274883,0.5520745861917116,0.0736528608336066,0.187992810722608,0.2344530447536469,0.6653557737106707,1.0434430112144275,3.791386613812729,-1.5591759268481369,-0.0120020528696531,0.0119387078317373,1254785854
0.0,0.0,197940.36659999937,1044153.6491000004,-0.0192375675699794,0.1059747228942946,0.2069338117810506,0.5340880030564504,0.4685731381593833,0.4379485381093509,0.1133912859668003,0.4832923320181927,-1.6022280586729911,-0.8207604093596693,0.5419979236908368,0.0261095883837497,-0.0334015147106844,0.2202754231967332,0.1580784061497347,1.0096722190768035,3.805726979370127,-1.5293880738095025,-0.0120495144357173,0.0174044538364607,5002908266
0.0,0.0,152445.7006999976,1103526.4036000003,-0.0186682773849108,0.112521712886177,0.2203753727391622,0.5252014192238595,0.4936620944899451,0.4676563706231665,0.1128201636844592,0.4675845665712547,-1.5887316228835713,-0.8044640598429176,0.5506788698148875,0.0285742151180733,0.0889849281937891,0.3334741206052153,0.1697766044414225,1.0141868861757464,3.816872675559598,-1.552160313733366,-0.012171385134711,0.0255285220902754,6694212473
0.0,0.0,111179.04589999968,1049806.0015000005,-0.0188755561902864,0.1042253883448549,0.2082494308650526,0.5351693720164755,0.4725941652571689,0.4473961080063219,0.1157834117060947,0.4625496731689265,-1.597702142606367,-0.8268495554612361,0.5541926389172964,0.0724638459054214,0.1850063958773586,0.2289422200188719,0.6630052908203992,1.000071670096592,3.783369732398541,-1.5448912205911536,-0.0118904367446594,0.0120466654552434,1254785854
0.0,0.0,111923.13370000012,1027317.7346999994,-0.0182183180208558,0.1063917100915572,0.2030680660264074,0.5290298679057337,0.4815102231131178,0.446115534856842,0.1149644429068604,0.4773930353944897,-1.6240659981615984,-0.8136501791834718,0.5656092518586578,0.0713964819209725,0.0815379469528709,0.3345216195356219,0.1691762702834955,1.0435194578450022,3.853523558216181,-1.5728137577219703,-0.0120892548793351,0.0314368103906262,1381412189
