sim_id,f1_2008,f2_2020,f3_2022,f4_terminal,f5_annual_worst,dollar_ret_1p,dollar_ret_6p,dollar_ret_13p,dollar_ret_26p,avg_eps_1q,avg_eps_2q,avg_eps_4q,avg_eps_8q
8419349980,466219.43447065353,48057.57627105713,0.0,1412897.8325653076,-0.02155493549273524,0.606929233,0.853222074,0.776603933,0.592824673,0.04500555600000003,0.015576869000000004,0.066808262,0.213824829
9217749894,427714.4556713104,47744.529938697815,0.0,1425533.778500557,-0.021570981303337566,0.605907095,0.85423533,0.777454505,0.592918077,0.03851641000000002,0.016374981000000004,0.066315467,0.218265828
9318178518,408354.3082847595,46963.32099723816,0.0,1421097.1792674065,-0.02147872585175936,0.605401258,0.85390307,0.777031793,0.593000631,0.068749665,0.007109674999999995,0.09440485,0.18504764399999998
4836247611,484179.7341723442,46963.32099723816,0.0,1421771.7233657837,-0.021494713119655784,0.60567486,0.85410764,0.77704855,0.592905493,0.07356337,0.008137509999999999,0.076750165,0.187704581
7980980142,450948.8287138939,46963.32099723816,0.0,1429863.3289365768,-0.021495100197083117,0.606532856,0.853882,0.778965786,0.593770878,0.074835356,0.008763601,0.07743851,0.188725669
9609814520,454099.3556690216,46963.32099723816,0.0,1416269.1593351364,-0.021495052104577583,0.606044641,0.853875267,0.777045599,0.592903964,0.073552447,0.008339169,0.076758326,0.186904916
1230872768,486440.2075867653,46963.32099723816,0.0,1428011.9233083725,-0.021496094354349515,0.60567486,0.85410764,0.77704855,0.592905493,0.073533818,0.00810298,0.07668711,0.187565461
7331022482,446810.4936771393,47744.529938697815,0.0,1453919.1880578995,-0.02159389957113056,0.605886889,0.854222369,0.777483384,0.59290307,0.03851862700000002,0.016377273000000005,0.066320193,0.218277506
5095961087,473943.3307247162,46993.144536972046,0.0,1412697.888762474,-0.021086166816223217,0.606014004,0.853900254,0.777059607,0.592906781,0.074293154,0.005856364999999997,0.07973224700000002,0.186079512
9881933695,367191.6131076813,47799.29069805145,0.0,1406006.1776900291,-0.02156481328797666,0.606590151,0.852934264,0.777724773,0.592502033,0.04493689400000002,0.015559842000000004,0.066859849,0.213772251
2186818846,404083.297557354,47422.151381492615,0.0,1422839.4386119843,-0.021538810700900912,0.61271408,0.840631215,0.78160728,0.594073667,0.04354173400000001,0.0006839190000000016,0.06562726300000002,0.30641520899999997
1564496146,479286.81166267395,46963.32099723816,0.0,1422030.5846767426,-0.021474949645674313,0.607169247,0.853382159,0.776844571,0.59287388,0.074276729,0.0059595839999999995,0.079750583,0.185631527
5758004143,482551.6988773346,47737.394267082214,0.0,1428623.9738135338,-0.021569697935540866,0.604770947,0.853213333,0.775356117,0.592782386,0.03944343300000003,0.014695437000000004,0.067612036,0.21884131
5207695637,499721.9108610153,44866.452176094055,0.0,1441937.175719738,-0.021563387270256418,0.606006039,0.853895853,0.777048691,0.592905983,0.04078795900000002,0.015722825000000003,0.067010016,0.21582849
